Time (s),LD-X (mm)
0.0000,-0.2329
0.0005,-0.4192
0.0010,-0.6042
0.0015,-0.7875
0.0020,-0.9689
0.0025,-1.1486
0.0030,-1.3264
0.0035,-1.5018
0.0040,-1.6743
0.0045,-1.8436
0.0050,-2.0097
0.0055,-2.1723
0.0060,-2.3309
0.0065,-2.4850
0.0070,-2.6336
0.0075,-2.7765
0.0080,-2.9131
0.0085,-3.0432
0.0090,-3.1666
0.0095,-3.2829
0.0100,-3.3917
0.0105,-3.4925
0.0110,-3.5852
0.0115,-3.6697
0.0120,-3.7460
0.0125,-3.8137
0.0130,-3.8726
0.0135,-3.9223
0.0140,-3.9629
0.0145,-3.9941
0.0150,-4.0157
0.0155,-4.0272
0.0160,-4.0282
0.0165,-4.0184
0.0170,-3.9975
0.0175,-3.9658
0.0180,-3.9236
0.0185,-3.8714
0.0190,-3.8094
0.0195,-3.7378
0.0200,-3.6567
0.0205,-3.5661
0.0210,-3.4665
0.0215,-3.3583
0.0220,-3.2413
0.0225,-3.1155
0.0230,-2.9808
0.0235,-2.8376
0.0240,-2.6863
0.0245,-2.5275
0.0250,-2.3617
0.0255,-2.1893
0.0260,-2.0109
0.0265,-1.8270
0.0270,-1.6387
0.0275,-1.4466
0.0280,-1.2510
0.0285,-1.0521
0.0290,-0.8498
0.0295,-0.6444
0.0300,-0.4367
0.0305,-0.2277
0.0310,-0.0184
0.0315,0.1904
0.0320,0.3983
0.0325,0.6047
0.0330,0.8092
0.0335,1.0114
0.0340,1.2109
0.0345,1.4073
0.0350,1.6003
0.0355,1.7890
0.0360,1.9728
0.0365,2.1510
0.0370,2.3232
0.0375,2.4891
0.0380,2.6483
0.0385,2.8003
0.0390,2.9444
0.0395,3.0801
0.0400,3.2069
0.0405,3.3247
0.0410,3.4331
0.0415,3.5317
0.0420,3.6205
0.0425,3.6994
0.0430,3.7687
0.0435,3.8286
0.0440,3.8792
0.0445,3.9204
0.0450,3.9521
0.0455,3.9741
0.0460,3.9863
0.0465,3.9886
0.0470,3.9807
0.0475,3.9629
0.0480,3.9352
0.0485,3.8980
0.0490,3.8517
0.0495,3.7964
0.0500,3.7324
0.0505,3.6601
0.0510,3.5798
0.0515,3.4916
0.0520,3.3955
0.0525,3.2914
0.0530,3.1795
0.0535,3.0601
0.0540,2.9338
0.0545,2.8010
0.0550,2.6624
0.0555,2.5185
0.0560,2.3698
0.0565,2.2167
0.0570,2.0594
0.0575,1.8982
0.0580,1.7334
0.0585,1.5648
0.0590,1.3923
0.0595,1.2157
0.0600,1.0356
0.0605,0.8527
0.0610,0.6677
0.0615,0.4812
0.0620,0.2936
0.0625,0.1055
0.0630,-0.0826
0.0635,-0.2701
0.0640,-0.4565
0.0645,-0.6413
0.0650,-0.8243
0.0655,-1.0057
0.0660,-1.1853
0.0665,-1.3629
0.0670,-1.5378
0.0675,-1.7096
0.0680,-1.8782
0.0685,-2.0438
0.0690,-2.2060
0.0695,-2.3643
0.0700,-2.5176
0.0705,-2.6654
0.0710,-2.8073
0.0715,-2.9431
0.0720,-3.0723
0.0725,-3.1944
0.0730,-3.3090
0.0735,-3.4154
0.0740,-3.5135
0.0745,-3.6037
0.0750,-3.6862
0.0755,-3.7609
0.0760,-3.8272
0.0765,-3.8846
0.0770,-3.9328
0.0775,-3.9715
0.0780,-4.0002
0.0785,-4.0187
0.0790,-4.0269
0.0795,-4.0245
0.0800,-4.0117
0.0805,-3.9885
0.0810,-3.9550
0.0815,-3.9112
0.0820,-3.8571
0.0825,-3.7926
0.0830,-3.7180
0.0835,-3.6337
0.0840,-3.5402
0.0845,-3.4378
0.0850,-3.3265
0.0855,-3.2062
0.0860,-3.0769
0.0865,-2.9389
0.0870,-2.7928
0.0875,-2.6391
0.0880,-2.4783
0.0885,-2.3109
0.0890,-2.1376
0.0895,-1.9587
0.0900,-1.7747
0.0905,-1.5862
0.0910,-1.3933
0.0915,-1.1963
0.0920,-0.9953
0.0925,-0.7910
0.0930,-0.5843
0.0935,-0.3761
0.0940,-0.1675
0.0945,0.0409
0.0950,0.2490
0.0955,0.4563
0.0960,0.6622
0.0965,0.8662
0.0970,1.0674
0.0975,1.2654
0.0980,1.4596
0.0985,1.6498
0.0990,1.8355
0.0995,2.0164
0.1000,2.1921
0.1005,2.3626
0.1010,2.5276
0.1015,2.6862
0.1020,2.8375
0.1025,2.9807
0.1030,3.1150
0.1035,3.2399
0.1040,3.3550
0.1045,3.4604
0.1050,3.5563
0.1055,3.6428
0.1060,3.7198
0.1065,3.7873
0.1070,3.8450
0.1075,3.8929
0.1080,3.9312
0.1085,3.9600
0.1090,3.9793
0.1095,3.9890
0.1100,3.9887
